row_index,slippage_pred,fee_pred,impact_pred,net_cost,prob_taker,latency_ms
91,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0025720000849105418
92,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024959999791462906
93,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026259999685862567
94,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002367999968555523
95,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024720002329559065
96,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021669998204743024
97,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002458000381011516
98,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023869997676229104
99,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002252999820484547
100,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021679998098989017
101,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002322000000276603
102,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00223199958782061
103,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002409999979136046
104,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0025129997993644793
105,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023759998839523178
106,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002332000349269947
107,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026309999157092534
108,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023359998522209935
109,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002319000032002805
110,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.006715000381518621
111,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023729999156785198
112,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022950002858124208
113,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00783099994805525
114,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002460999894537963
115,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002674999905138975
116,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0027159999262948986
117,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002858999778254656
118,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002761999894573819
119,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026700004127633292
120,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002600000243546674
121,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002656999640748836
122,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002283999947394477
123,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002529999619582668
124,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021529999685299117
125,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022850003915664274
126,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022360000002663583
127,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022419999368139543
128,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002919000053225318
129,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00227999998969608
130,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021529999685299117
